Date,Medio,Program,Schedule,Original Title,Duration,Ordered Qty,Insertion,Confidence,Status
2025-12-20,MEDCOM,A lo Panameño,7:00pm- 8:00pm,TELEMETRO REP.FIN DE SEMANA,35,1,1,100,matched
2025-12-20,MEDCOM,A lo Panameño,7:00pm- 8:00pm,TELEMETRO REP.FIN DE SEMANA,10,1,1,100,matched
2025-12-20,MEDCOM,Noti. Fin de Semana,6:00pm-7:00pm,TELEMETRO REP.FIN DE SEMANA,35,1,1,100,matched
2025-12-20,MEDCOM,Noti. Fin de Semana,6:00pm-7:00pm,TELEMETRO REP.FIN DE SEMANA,10,1,1,100,matched
2025-12-20,TVN,Hecho en Panama,7:00pm-8:00pm,HECHO EN PANAMA,35,1,1,100,matched
2025-12-20,TVN,Not. Fin de Semana,6:00pm-7:00pm,HECHO EN PANAMA,35,1,1,100,matched
2025-12-21,MEDCOM,Noti. Fin de Semana,6:00pm-7:00pm,TELEMETRO REP.FIN DE SEMANA,35,1,1,100,matched
2025-12-21,MEDCOM,Noti. Fin de Semana,6:00pm-7:00pm,ENCHANTED CHRISTMAS,10,1,1,100,matched
2025-12-21,MEDCOM,Peliculas,7:00pm- 10:00pm,ENCHANTED CHRISTMAS,35,1,1,100,matched
2025-12-21,TVN,Not. Fin de Semana,6:00pm-7:00pm,TVN NOTICIAS FIN DE SEMANA,35,1,1,100,matched
2025-12-21,TVN,Peliculas,7:00pm-10:00pm,DOG,35,1,1,100,matched
2025-12-22,MEDCOM,Noticiero Matutino,6:00am-08:00am,TU MANANA,35,1,1,100,matched
2025-12-22,MEDCOM,Noticiero Matutino,6:00am-08:00am,ALMA SALVAJE,10,1,1,100,matched
2025-12-22,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-22,MEDCOM,Novela Vespertina,1:00pm-05:00pm,MI PECADO,10,1,1,100,matched
2025-12-22,MEDCOM,Tu Mañana,8:00am-11:30am,TELEMETRO REPORTA MATUTIN,35,1,1,100,matched
2025-12-22,MEDCOM,Tu Mañana,8:00am-11:30am,TELEMETRO REPORTA MATUTIN,10,1,1,100,matched
2025-12-22,TVN,Fam. de la Tarde,1:00pm-05:00pm,AMOR AMARGO,35,1,1,100,matched
2025-12-22,TVN,Jelou,8:00am-11:30am,JELOU,35,1,1,100,matched
2025-12-22,TVN,Jelou,8:00am-11:30am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-22,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS A M,35,1,1,100,matched
2025-12-22,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-22,TVN,Rot. Vespertina,1:00pm-05:00pm,SHOW TVN,10,1,1,100,matched
2025-12-23,MEDCOM,Noticiero Matutino,6:00am-08:00am,UNA VIDA PERFECTA,35,1,1,100,matched
2025-12-23,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,35,1,1,100,matched
2025-12-23,MEDCOM,Novela Vespertina,1:00pm-05:00pm,MI PECADO,10,1,1,100,matched
2025-12-23,MEDCOM,Tu Mañana,8:00am-11:30am,TELEMETRO REPORTA MATUTIN,35,1,1,100,matched
2025-12-23,MEDCOM,Tu Mañana,8:00am-11:30am,TELEMETRO REPORTA MATUTIN,10,1,1,100,matched
2025-12-23,TVN,Fam. de la Tarde,1:00pm-05:00pm,AMOR AMARGO,35,1,1,100,matched
2025-12-23,TVN,Jelou,8:00am-11:30am,TVN NOTICIAS A M,35,1,1,100,matched
2025-12-23,TVN,Jelou,8:00am-11:30am,JELOU,10,1,1,100,matched
2025-12-23,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,35,1,1,100,matched
2025-12-23,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS A M,10,1,1,100,matched
2025-12-23,TVN,Rot. Vespertina,1:00pm-05:00pm,CONTIGO SI POR SIEMPRE,10,1,1,100,matched
2025-12-26,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA MATUTIN,35,1,1,100,matched
2025-12-26,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA ESTELAR,10,1,1,100,matched
2025-12-26,MEDCOM,Novela Vespertina,1:00pm-05:00pm,LA ROSA DE GUADALUPE,10,1,1,100,matched
2025-12-26,MEDCOM,Tu Mañana,8:00am-11:30am,TU MANANA,35,1,1,100,matched
2025-12-26,MEDCOM,Tu Mañana,8:00am-11:30am,TELEMETRO REPORTA MATUTIN,10,1,1,100,matched
2025-12-26,TVN,Fam. de la Tarde,1:00pm-05:00pm,CONTIGO SI POR SIEMPRE,35,1,1,100,matched
2025-12-26,TVN,Noticiero Matutino,6:00am-08:00am,TVN NOTICIAS,35,1,1,100,matched
2025-12-26,TVN,Noticiero Matutino,6:00am-08:00am,CORAZON DE MADRE,10,1,1,100,matched
2025-12-26,TVN,Rot. Vespertina,1:00pm-05:00pm,CONTIGO SI POR SIEMPRE,10,1,1,100,matched
2025-12-27,TVN,Hecho en Panama,7:00pm-8:00pm,TVN NOTICIAS FIN DE SEMANA,35,1,1,100,matched
2025-12-27,TVN,Not. Fin de Semana,6:00pm-7:00pm,HECHO EN PANAMA,35,1,1,100,matched
2025-12-28,MEDCOM,Noti. Fin de Semana,6:00pm-7:00pm,TELEMETRO REP.FIN DE SEMANA,10,1,1,100,matched
2025-12-29,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA ESTELAR,35,1,1,100,matched
2025-12-29,MEDCOM,Noticiero Matutino,6:00am-08:00am,TELEMETRO REPORTA MATUTIN,10,1,1,100,matched
