Date,Medio,Program,Original Title,Duration,Ordered Qty,Insertion,Confidence
2024-12-27,"TVN","Not. Fin de Semana","-",10,2,0,0
2024-12-28,"MEDCOM","Noti. Fin de Semana","-",35,2,0,0
2024-12-28,"MEDCOM","Noti. Fin de Semana","-",10,1,0,0
2024-12-28,"TVN","Not. Fin de Semana","-",10,2,0,0
2024-12-29,"MEDCOM","Noticiero Estelar","-",35,3,0,0
2024-12-29,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2024-12-29,"MEDCOM","Noticiero Matutino","-",35,1,0,0
2024-12-29,"MEDCOM","Noticiero Matutino","-",10,1,0,0
2024-12-29,"MEDCOM","Novela Estelar","-",35,2,0,0
2024-12-29,"MEDCOM","Novela Estelar","-",10,3,0,0
2024-12-29,"MEDCOM","Novela Vespertina","-",35,1,0,0
2024-12-29,"MEDCOM","Novela Vespertina","-",10,1,0,0
2024-12-29,"MEDCOM","Tu Mañana","-",10,1,0,0
2024-12-29,"TVN","Fam. de la Tarde","-",35,1,0,0
2024-12-29,"TVN","Jelou","-",10,1,0,0
2024-12-29,"TVN","Noticiero Estelar","-",35,2,0,0
2024-12-29,"TVN","Noticiero Estelar","-",10,3,0,0
2024-12-29,"TVN","Noticiero Matutino","-",35,1,0,0
2024-12-29,"TVN","Noticiero Matutino","-",10,1,0,0
2024-12-29,"TVN","Novela Estelar","-",35,2,0,0
2024-12-29,"TVN","Novela Estelar","-",10,2,0,0
2024-12-29,"TVN","Rot. Vespertina","-",10,1,0,0
2024-12-30,"MEDCOM","Noticiero Estelar","-",35,3,0,0
2024-12-30,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2024-12-30,"MEDCOM","Noticiero Matutino","-",10,1,0,0
2024-12-30,"MEDCOM","Novela Estelar","-",35,2,0,0
2024-12-30,"MEDCOM","Novela Estelar","-",10,3,0,0
2024-12-30,"MEDCOM","Novela Vespertina","-",35,1,0,0
2024-12-30,"MEDCOM","Novela Vespertina","-",10,1,0,0
2024-12-30,"MEDCOM","Tu Mañana","-",35,1,0,0
2024-12-30,"MEDCOM","Tu Mañana","-",10,1,0,0
2024-12-30,"TVN","Fam. de la Tarde","-",35,1,0,0
2024-12-30,"TVN","Jelou","-",10,1,0,0
2024-12-30,"TVN","Noticiero Estelar","-",35,2,0,0
2024-12-30,"TVN","Noticiero Estelar","-",10,3,0,0
2024-12-30,"TVN","Noticiero Matutino","-",35,1,0,0
2024-12-30,"TVN","Noticiero Matutino","-",10,1,0,0
2024-12-30,"TVN","Novela Estelar","-",35,2,0,0
2024-12-30,"TVN","Novela Estelar","-",10,2,0,0
2024-12-30,"TVN","Rot. Vespertina","-",10,1,0,0
2025-11-02,"MEDCOM","Noticiero Estelar","-",35,1,0,0
2025-11-02,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2025-11-02,"MEDCOM","Novela Estelar","-",35,3,0,0
2025-11-02,"MEDCOM","Novela Estelar","-",10,3,0,0
2025-11-02,"TVN","Noticiero Estelar","-",35,2,0,0
2025-11-02,"TVN","Noticiero Estelar","-",10,1,0,0
2025-11-02,"TVN","Novela Estelar","-",35,3,0,0
2025-11-02,"TVN","Novela Estelar","-",10,2,0,0
2025-11-03,"MEDCOM","Loteria","-",35,1,0,0
2025-11-03,"MEDCOM","Loteria","-",10,1,0,0
2025-11-03,"MEDCOM","Noticiero Estelar","-",35,1,0,0
2025-11-03,"MEDCOM","Noticiero Estelar","-",10,2,0,0
2025-11-03,"MEDCOM","Noticiero Matutino","-",35,2,0,0
2025-11-03,"MEDCOM","Noticiero Matutino","-",10,1,0,0
2025-11-03,"MEDCOM","Novela Estelar","-",35,3,0,0
2025-11-03,"MEDCOM","Novela Estelar","-",10,3,0,0
2025-11-03,"MEDCOM","Tarde  Vespertina","-",35,1,0,0
2025-11-03,"MEDCOM","Tarde Vespertina","-",10,1,0,0
2025-11-03,"MEDCOM","Tu Mañana","-",35,1,0,0
2025-11-03,"TVN","Jelou","-",35,1,0,0
2025-11-03,"TVN","Jelou","-",10,1,0,0
2025-11-03,"TVN","Loteria","-",35,1,0,0
2025-11-03,"TVN","Loteria","-",10,1,0,0
2025-11-03,"TVN","Noticiero Estelar","-",35,2,0,0
2025-11-03,"TVN","Noticiero Estelar","-",10,1,0,0
2025-11-03,"TVN","Noticiero Matutino","-",35,1,0,0
2025-11-03,"TVN","Noticiero Matutino","-",10,1,0,0
2025-11-03,"TVN","Novela Estelar","-",35,3,0,0
2025-11-03,"TVN","Novela Estelar","-",10,2,0,0
2025-11-03,"TVN","Rot. Vespertina","-",10,1,0,0
